backend,h,filename,source,l,num_edges,total_gate_weight,edge_term_random,edge_term_std,readout_term_random,readout_term_std,edge_term_optimal_adj,ratio_edge_readout,denom_l_plus_E,norm_combined,norm_edge_only,norm_readout_only,norm_separate_sum,norm_edge_by_gate_weight,norm_weighted_half,size_bucket
toronto,27,melbourne_1qu_qu08_len55_square_root_n18_transpiled_9.qasm,mlqd,8,10,14.0,4.101998083405197,1.0148397399255473,0.340864006280899,0.14141800141159325,0.6817918792366982,12.034119202438829,18,0.24682567164922753,0.41019980834051967,0.04260800078511238,0.45280780912563207,0.2929998631003712,0.22640390456281603,small (5-10Q)
toronto,27,melbourne_only2qu_qu14_twoqugatenum23_qft_n18_transpiled_13.qasm,mlqd,14,12,23.0,6.306734061613679,1.6328024520230238,0.609318009018898,0.17539497616414929,1.120086658746004,10.350480321053626,26,0.26600200271663754,0.5255611718011399,0.04352271492992128,0.5690838867310613,0.2742058287658121,0.2845419433655306,medium (11-20Q)
toronto,27,melbourne_only2qu_qu07_twoqugatenum19_sat_n11_transpiled_9.qasm,mlqd,7,10,19.0,5.45984173337929,1.6103972692117876,0.33838200956583026,0.1478219848353133,0.9252889789640903,16.13514187821238,17,0.3410719848791247,0.5459841733379289,0.04834028708083289,0.5943244604187619,0.28736009123048895,0.29716223020938093,small (5-10Q)
toronto,27,20QBT_45CYC_.2D1_.1D2_7.qasm,queko,20,24,45.0,12.491222888482735,1.7031453904760643,0.9008680045604706,0.136857951062178,2.1914738975465298,13.865763713716468,44,0.3043657021146183,0.5204676203534473,0.04504340022802353,0.5655110205814708,0.2775827308551719,0.2827555102907354,medium (11-20Q)
toronto,27,20QBT_45CYC_.2D1_.1D2_4.qasm,queko,20,29,45.0,13.029953377321362,1.8814244337840427,0.8923140001296997,0.11429611917367959,2.1914738975465298,14.60243073114109,49,0.2841279056622666,0.4493087371490125,0.04461570000648499,0.4939244371554975,0.2895545194960303,0.24696221857774875,medium (11-20Q)
toronto,27,melbourne_1qu_qu07_len45_qugan_n39_transpiled_6.qasm,mlqd,7,6,14.0,3.9774222188442945,1.3180190925905568,0.3109100079536438,0.137065721143422,0.6817918792366982,12.792840748430722,13,0.32987170975368757,0.6629037031407158,0.044415715421949116,0.7073194185626649,0.28410158706030675,0.35365970928133245,small (5-10Q)
toronto,27,melbourne_1qu_qu14_len20_bv_n30_transpiled_0.qasm,mlqd,14,10,10.0,2.9416119621135293,0.8165697639100382,0.6223780167102814,0.16962599249797122,0.4869941994547844,4.726407236653504,24,0.14849958245099212,0.29416119621135295,0.04445557262216295,0.3386167688335159,0.29416119621135295,0.16930838441675794,medium (11-20Q)
toronto,27,cm85a_209.qasm,revlib,14,83,6430.0,1819.382251195088,220.16261646868023,0.6085200142860413,0.15029901890448866,313.13727024942636,2989.847841454674,97,18.76279145576674,21.920268086687805,0.043465715306145805,21.96373380199395,0.2829521385995471,10.981866900996975,medium (11-20Q)
toronto,27,queko_aspen4_only2qu_qu15_twoqugatenum25_qft_n18_transpiled_15.qasm,mlqd,15,13,25.0,7.267639723811299,2.2390557498044266,0.6527480071783066,0.14707506059423028,1.217485498636961,11.133913307874794,28,0.2828709903924859,0.5590492095239461,0.04351653381188711,0.6025657433358332,0.29070558895245197,0.3012828716679166,medium (11-20Q)
toronto,27,small_lpn_n5_lpn_n5.qasm,qasmbench,5,2,2.0,0.6091761538945138,0.3246368420668634,0.23076400674879552,0.11821358992364589,0.09739883989095688,2.6398230923319392,7,0.11999145152047276,0.3045880769472569,0.046152801349759104,0.35074087829701606,0.3045880769472569,0.17537043914850803,small (5-10Q)
toronto,27,mlqd_grid5x5_only2qu_qu16_twoqugatenum15_wstate_n118_transpiled_5.qasm,mlqd,16,15,15.0,4.130116974916309,0.6099392730352327,0.7184579992294311,0.15250646712154417,0.7304912991821766,5.748585135590375,31,0.1564056443272819,0.27534113166108726,0.044903624951839444,0.32024475661292673,0.27534113166108726,0.16012237830646336,medium (11-20Q)
toronto,27,graphstate_n19.qasm,mqt_bench,19,19,19.0,5.403742491994053,0.5844773026564059,0.861998016834259,0.15155282966177916,0.9252889789640903,6.268857220622886,38,0.16488790812706083,0.28440749957863437,0.04536831667548732,0.32977581625412167,0.28440749957863437,0.16488790812706083,medium (11-20Q)
toronto,27,melbourne_1qu_qu09_len55_multiplier_n15_transpiled_2.qasm,mlqd,9,11,22.0,6.6599471214227375,1.487426871960758,0.37882200837135316,0.15942803116497187,1.0713872388005257,17.580676344691405,20,0.3519384564897045,0.605449738311158,0.04209133426348369,0.6475410725746417,0.302724869155579,0.32377053628732083,small (5-10Q)
toronto,27,qaoa_n24_seed2.qasm,mqt_bench,24,149,596.0,171.49634351242332,8.552401544180773,1.0671660137176513,0.10305423401937838,29.02485428750515,160.7025910757663,173,0.9974769336771154,1.1509821712243176,0.044465250571568804,1.1954474217958864,0.2877455428060794,0.5977237108979432,large (21-50Q)
toronto,27,draper_qft_adder_n22.qasm,mqt_bench,22,121,352.0,100.77625953515991,11.045056313741313,1.0000520026683808,0.12319533503369105,17.14219582080841,100.77101917326745,143,0.7117224583064915,0.8328616490509083,0.04545690921219913,0.8783185582631075,0.2862961918612497,0.4391592791315537,large (21-50Q)
toronto,27,qaoa_n5_seed0.qasm,mqt_bench,5,6,24.0,6.745476441308856,1.9473100525807212,0.20995600402355194,0.11582885991717887,1.1687860786914825,32.12804736249495,11,0.6323120404847644,1.124246073551476,0.04199120080471039,1.1662372743561864,0.281061518387869,0.5831186371780932,small (5-10Q)
